count,coordinates,valname
43697,"[-73.973249, 40.739237]",C1
37845,"[-73.980185, 40.71098]",C2
35289,"[-73.974467, 40.722333]",C3
28987,"[-73.957928, 40.761162]",C4
28967,"[-73.97191, 40.743309]",C5
28416,"[-73.972169, 40.72622]",C6
27728,"[-73.972049, 40.726193]",C7
26894,"[-73.973878, 40.731708]",C8
26387,"[-73.975683, 40.728454]",C9
26268,"[-73.975064, 40.735925]",C10
26115,"[-73.958666, 40.741994]",C11
25086,"[-73.960059, 40.756935]",C12
24854,"[-73.977839, 40.712347]",C13
24839,"[-73.997981, 40.708803]",C14
24052,"[-73.976221, 40.765671]",C15
23957,"[-73.97755, 40.752237]",C16
23864,"[-73.960408, 40.756384]",C17
23016,"[-73.900045, 40.757286]",C18
22971,"[-73.971872, 40.729099]",C19
22946,"[-73.980147, 40.71087]",C20
22774,"[-73.965288, 40.777995]",C21
22482,"[-73.938584, 40.738183]",C22
22463,"[-73.972354, 40.74274]",C23
21741,"[-73.968705, 40.748108]",C24
21727,"[-73.957761, 40.759913]",C25
21717,"[-73.954221, 40.76264]",C26
21492,"[-73.973969, 40.731042]",C27
21479,"[-73.844033, 40.733901]",C28
21437,"[-73.974352, 40.722276]",C29
21404,"[-73.983711, 40.785842]",C30
21334,"[-73.947441, 40.741312]",C31
21264,"[-73.968774, 40.747839]",C32
21143,"[-74.001095, 40.736564]",C33
20983,"[-73.973097, 40.738963]",C34
20969,"[-73.939732, 40.785655]",C35
20884,"[-73.8202, 40.709571]",C36
20798,"[-73.833258, 40.719396]",C37
20434,"[-73.94374, 40.782846]",C38
20322,"[-73.935604, 40.791491]",C39
20129,"[-73.973844, 40.731292]",C40
20082,"[-73.970798, 40.77979]",C41
20036,"[-73.89485, 40.746179]",C42
19936,"[-73.826028, 40.715563]",C43
19781,"[-73.947805, 40.770259]",C44
19702,"[-73.967184, 40.778364]",C45
19595,"[-73.958383, 40.759021]",C46
18836,"[-73.954415, 40.762608]",C47
18539,"[-73.971778, 40.728292]",C48
18425,"[-73.972152, 40.729623]",C49
18330,"[-73.972078, 40.743186]",C50
17881,"[-73.975893, 40.753602]",C51
17841,"[-73.973947, 40.731526]",C52
17804,"[-73.972383, 40.742971]",C53
17704,"[-73.976254, 40.754226]",C54
17674,"[-73.974553, 40.722071]",C55
17503,"[-73.978012, 40.752679]",C56
17483,"[-73.970682, 40.770949]",C57
17435,"[-73.976773, 40.754317]",C58
